id,category
0002.npy,6
0004.npy,1
0006.npy,5
0007.npy,6
0010.npy,6
0013.npy,0
0020.npy,7
0024.npy,5
0028.npy,1
0029.npy,10
0037.npy,14
0040.npy,13
0041.npy,3
0042.npy,12
0043.npy,0
0045.npy,0
0048.npy,0
0049.npy,4
0053.npy,0
0055.npy,8
0061.npy,6
0067.npy,12
0068.npy,2
0070.npy,18
0073.npy,1
0075.npy,15
0079.npy,8
0081.npy,6
0086.npy,12
0088.npy,1
0091.npy,17
0099.npy,4
0101.npy,14
0102.npy,18
0106.npy,2
0109.npy,2
0111.npy,18
0114.npy,10
0121.npy,7
0131.npy,15
0133.npy,6
0136.npy,14
0143.npy,15
0147.npy,17
0151.npy,18
0152.npy,0
0153.npy,19
0156.npy,2
0166.npy,18
0170.npy,12
0181.npy,8
0186.npy,11
0188.npy,3
0193.npy,2
0197.npy,0
0198.npy,7
0206.npy,15
0214.npy,1
0216.npy,16
0224.npy,10
0226.npy,13
0230.npy,12
0234.npy,14
0235.npy,1
0241.npy,12
0245.npy,5
0249.npy,5
0270.npy,6
0276.npy,15
0277.npy,2
0287.npy,5
0290.npy,6
0294.npy,8
0297.npy,3
0298.npy,7
0328.npy,9
0336.npy,10
0337.npy,12
0339.npy,13
0351.npy,13
0353.npy,17
0362.npy,0
0393.npy,16
0396.npy,14
0413.npy,16
0415.npy,19
0423.npy,6
0425.npy,9
0430.npy,9
0440.npy,1
0446.npy,1
0466.npy,16
0467.npy,10
0468.npy,12
0469.npy,15
0470.npy,12
0471.npy,7
0474.npy,4
0475.npy,9
0479.npy,8
0486.npy,1
0487.npy,14
0488.npy,1
0490.npy,4
0496.npy,13
0503.npy,12
0505.npy,13
0509.npy,7
0510.npy,15
0516.npy,9
0522.npy,14
0524.npy,14
0525.npy,4
0527.npy,14
0530.npy,2
0542.npy,8
0545.npy,9
0559.npy,17
0560.npy,12
0564.npy,1
0568.npy,1
0576.npy,4
0577.npy,15
0581.npy,16
0585.npy,16
0586.npy,0
0588.npy,6
0596.npy,18
0601.npy,19
0609.npy,15
0637.npy,10
0641.npy,14
0642.npy,0
0645.npy,3
0649.npy,5
0654.npy,4
0657.npy,1
0662.npy,18
0666.npy,3
0672.npy,5
0674.npy,1
0676.npy,13
0679.npy,7
0683.npy,4
0687.npy,1
0692.npy,14
0693.npy,2
0695.npy,9
0701.npy,9
0705.npy,8
0706.npy,19
0737.npy,15
0738.npy,7
0743.npy,3
0744.npy,1
0747.npy,0
0750.npy,17
0765.npy,11
0772.npy,16
0775.npy,13
0776.npy,7
0777.npy,4
0782.npy,10
0797.npy,9
0798.npy,6
0802.npy,6
0811.npy,17
0812.npy,17
0813.npy,5
0828.npy,5
0829.npy,6
0847.npy,9
0854.npy,9
0855.npy,7
0858.npy,18
0864.npy,10
0867.npy,18
0874.npy,11
0878.npy,1
0879.npy,19
0894.npy,11
0898.npy,14
0900.npy,12
0902.npy,0
0904.npy,18
0916.npy,6
0918.npy,13
0921.npy,19
0922.npy,14
0934.npy,3
0946.npy,6
0952.npy,10
0955.npy,6
0963.npy,16
0964.npy,8
0965.npy,14
0966.npy,4
0971.npy,12
0973.npy,3
0974.npy,11
0985.npy,3
0990.npy,4
0994.npy,5
0997.npy,6
0999.npy,2
1000.npy,19
1002.npy,1
1008.npy,9
1009.npy,5
1014.npy,3
1021.npy,4
1024.npy,9
1025.npy,16
1030.npy,1
1031.npy,3
1042.npy,18
1044.npy,19
1050.npy,19
1059.npy,5
1075.npy,19
1077.npy,4
1080.npy,1
1082.npy,0
1090.npy,11
1101.npy,7
1107.npy,18
1108.npy,7
1109.npy,2
1112.npy,16
1116.npy,0
1121.npy,15
1124.npy,13
1125.npy,13
1128.npy,17
1130.npy,11
1141.npy,2
1144.npy,9
1161.npy,17
1166.npy,16
1172.npy,0
1174.npy,10
1179.npy,15
1181.npy,18
1190.npy,19
1197.npy,15
1203.npy,9
1206.npy,5
1210.npy,11
1211.npy,5
1212.npy,8
1221.npy,7
1224.npy,16
1226.npy,8
1235.npy,1
1249.npy,16
1264.npy,14
1266.npy,11
1270.npy,4
1271.npy,1
1277.npy,14
1280.npy,0
1282.npy,8
1286.npy,15
1288.npy,17
1289.npy,0
1298.npy,14
1302.npy,19
1303.npy,11
1306.npy,18
1309.npy,4
1315.npy,17
1318.npy,5
1319.npy,15
1323.npy,4
1324.npy,17
1325.npy,19
1332.npy,13
1336.npy,11
1337.npy,19
1339.npy,18
1345.npy,17
1351.npy,12
1355.npy,11
1358.npy,7
1361.npy,8
1364.npy,3
1365.npy,10
1377.npy,19
1392.npy,8
1394.npy,10
1396.npy,3
1399.npy,2
1404.npy,14
1405.npy,12
1406.npy,19
1410.npy,10
1415.npy,13
1421.npy,17
1423.npy,15
1428.npy,10
1434.npy,3
1442.npy,15
1444.npy,15
1446.npy,18
1447.npy,3
1449.npy,16
1463.npy,3
1470.npy,7
1471.npy,2
1474.npy,18
1475.npy,11
1480.npy,9
1482.npy,16
1485.npy,11
1489.npy,17
1494.npy,9
1502.npy,3
1503.npy,10
1504.npy,3
1509.npy,11
1516.npy,16
1520.npy,16
1522.npy,19
1523.npy,2
1524.npy,12
1538.npy,12
1548.npy,7
1553.npy,4
1554.npy,15
1559.npy,19
1560.npy,12
1571.npy,14
1598.npy,4
1604.npy,7
1606.npy,16
1612.npy,9
1613.npy,11
1621.npy,5
1627.npy,7
1629.npy,5
1631.npy,10
1638.npy,3
1640.npy,14
1648.npy,18
1657.npy,6
1662.npy,1
1670.npy,15
1674.npy,1
